#{"t_start": 1769799961.743017, "env_id": "None"}
r,l,t
911.0,20,0.722289
643.0,14,0.904756
929.0,22,1.264702
417.0,7,1.355325
1250.0,36,1.998047
1064.0,23,2.315063
838.0,23,2.630778
565.0,12,2.835341
593.0,16,3.043499
639.0,14,3.216106
1125.0,29,3.714996
1570.0,45,4.6067
576.0,16,4.784689
1261.0,43,5.705575
589.0,15,5.899515
1233.0,28,6.377271
702.0,13,6.584231
564.0,13,6.755559
490.0,11,6.873026
333.0,7,6.966065
747.0,16,7.169093
978.0,37,7.846528
606.0,13,7.993594
976.0,33,8.640553
686.0,21,8.891683
790.0,18,9.108838
734.0,15,9.341739
879.0,21,9.716312
1194.0,34,10.229433
872.0,26,10.611299
1074.0,28,11.019104
1092.0,30,11.49706
915.0,15,11.710132
395.0,12,11.840784
1035.0,26,12.254182
759.0,21,12.57289
853.0,25,12.905407
1034.0,23,13.244423
1320.0,46,14.151729
891.0,23,14.520301
683.0,24,14.81937
624.0,9,14.933767
707.0,13,15.166632
714.0,11,15.331019
675.0,11,15.521596
758.0,12,15.658549
1294.0,37,16.263426
532.0,18,16.487821
595.0,17,16.749172
760.0,21,16.991316
1035.0,20,17.384453
1234.0,25,17.770718
656.0,13,17.935585
1284.0,33,18.531559
911.0,22,18.818792
1494.0,45,19.669166
725.0,10,19.77258
1111.0,23,20.071264
882.0,19,20.314931
772.0,17,20.544492
773.0,18,20.793517
660.0,10,20.902634
749.0,19,21.209168
562.0,12,21.404997
851.0,22,21.78291
629.0,8,21.874127
770.0,17,22.121675
402.0,17,22.324702
586.0,9,22.449851
1004.0,25,22.823394
764.0,13,23.000853
1621.0,46,23.864037
596.0,22,24.21561
818.0,20,24.490134
705.0,24,24.785652
537.0,16,25.00609
986.0,31,25.527207
1558.0,42,26.29761
1196.0,34,26.926136
634.0,23,27.312492
381.0,17,27.523253
533.0,8,27.641109
575.0,8,27.736924
449.0,11,27.87821
729.0,15,28.036483
949.0,26,28.46814
847.0,28,28.985562
766.0,13,29.19061
759.0,18,29.470637
849.0,24,29.821104
1141.0,33,30.498033
822.0,14,30.665048
804.0,28,31.127173
504.0,10,31.258021
700.0,27,31.694233
498.0,15,31.862189
472.0,14,32.031082
471.0,11,32.17029
1339.0,45,35.47452
623.0,9,35.625353
667.0,25,35.98742
733.0,21,36.282672
447.0,12,36.439423
419.0,17,36.666816
738.0,15,36.888752
723.0,20,37.111446
638.0,15,37.281715
500.0,12,37.457828
582.0,11,37.639591
775.0,18,37.878166
527.0,11,38.023773
1364.0,42,38.721943
673.0,9,38.85243
467.0,14,39.06114
890.0,17,39.2733
1146.0,31,39.769374
703.0,11,39.932132
665.0,11,40.071519
484.0,7,40.153386
1523.0,45,41.020338
1263.0,43,42.044865
783.0,28,42.600692
1433.0,44,43.656256
737.0,17,43.960725
840.0,16,44.146384
533.0,13,44.313016
977.0,25,44.703417
641.0,14,44.886928
755.0,32,45.636074
938.0,29,46.165595
469.0,11,46.307899
904.0,27,46.822901
886.0,17,47.082452
663.0,12,47.208014
1017.0,30,47.643742
1196.0,27,48.077876
964.0,25,48.43843
691.0,20,48.711958
1878.0,47,49.797758
869.0,16,49.980467
319.0,7,50.0951
1218.0,40,50.88298
828.0,30,51.345004
816.0,18,51.64571
781.0,21,52.042492
517.0,18,52.247842
565.0,10,52.362884
568.0,16,52.584719
980.0,33,53.257114
1245.0,36,53.869306
493.0,12,54.03022
645.0,14,54.214301
703.0,13,54.389023
1097.0,34,55.027547
1027.0,23,55.447683
692.0,22,55.718032
577.0,17,55.885119
747.0,15,56.052833
1056.0,25,56.481693
472.0,12,56.62873
1447.0,45,57.568864
726.0,10,57.686163
912.0,28,58.121784
1365.0,46,59.189734
1661.0,46,60.016604
1268.0,29,60.505036
514.0,8,60.629614
1105.0,35,61.209508
653.0,11,61.368548
783.0,20,61.648758
492.0,13,61.810608
879.0,22,62.267786
847.0,23,62.5913
817.0,14,62.780564
518.0,10,62.902214
678.0,12,63.042894
455.0,11,63.172243
623.0,14,63.333465
803.0,17,63.557004
945.0,30,63.968318
996.0,22,64.247179
1549.0,45,65.074965
833.0,23,65.419727
375.0,9,65.528474
657.0,11,65.727411
690.0,26,66.113416
794.0,14,66.27546
713.0,13,66.493378
561.0,12,66.638099
715.0,18,66.899002
959.0,27,67.535329
942.0,22,67.892657
1252.0,31,68.341333
567.0,9,68.508691
671.0,15,70.768232
559.0,9,70.907154
819.0,21,71.229513
732.0,9,71.364469
468.0,15,71.531056
509.0,12,71.689963
883.0,15,71.91258
424.0,9,72.023879
1458.0,41,72.772282
471.0,9,72.883125
1317.0,35,73.539325
828.0,19,73.847453
1121.0,22,74.24224
764.0,17,74.475387
1047.0,28,74.890572
877.0,23,75.22858
665.0,11,75.398078
746.0,18,75.588542
874.0,22,75.878234
1594.0,41,76.70718
654.0,12,76.840277
762.0,12,76.981915
1285.0,46,78.080045
578.0,10,78.178975
710.0,10,78.296665
1157.0,25,78.641362
1055.0,25,79.078678
708.0,19,79.408943
858.0,17,79.624456
1442.0,44,80.535933
806.0,30,81.143477
375.0,7,81.22425
816.0,25,81.585053
404.0,11,81.70901
1431.0,47,82.539082
933.0,17,82.778678
1104.0,34,83.364445
572.0,9,83.495534
930.0,28,83.989303
1039.0,24,84.360939
384.0,12,84.511506
1201.0,33,85.019205
809.0,23,85.390066
1056.0,29,85.959169
1456.0,40,86.695528
768.0,13,86.866142
910.0,24,87.284284
421.0,15,87.452858
763.0,23,87.883687
627.0,15,88.080988
500.0,12,88.211892
960.0,27,88.609045
808.0,21,88.893109
760.0,22,89.216237
1113.0,33,89.802205
614.0,14,89.976401
553.0,12,90.119546
684.0,9,90.258719
657.0,12,90.435184
502.0,24,90.794344
904.0,24,91.117191
626.0,10,91.254234
595.0,13,91.40792
795.0,15,91.640023
405.0,18,91.909701
923.0,18,92.279101
1295.0,38,92.971375
490.0,7,93.076424
871.0,30,93.640699
1018.0,27,94.030736
956.0,21,94.412916
995.0,28,94.839914
609.0,17,95.052348
994.0,23,95.388713
754.0,17,95.657719
1493.0,43,96.516629
421.0,14,96.701479
375.0,9,96.8059
882.0,19,97.128135
826.0,25,97.547042
491.0,14,97.702924
646.0,22,98.036519
1502.0,45,99.045345
378.0,7,99.131027
673.0,15,99.330044
1040.0,30,99.801524
1141.0,32,100.308161
379.0,8,100.416276
1217.0,35,100.978964
1131.0,29,101.418924
661.0,9,101.562368
497.0,14,101.704132
1307.0,44,102.591047
651.0,19,102.926066
565.0,9,103.049892
539.0,8,103.142485
565.0,11,103.317124
1479.0,43,106.239743
758.0,14,106.43749
526.0,8,106.541401
1346.0,39,107.262333
779.0,18,107.525232
890.0,21,107.805384
580.0,14,107.968812
1008.0,26,108.308029
511.0,17,108.524727
840.0,22,108.919486
537.0,13,109.059227
356.0,9,109.170746
383.0,13,109.28764
823.0,24,109.683449
682.0,12,109.817532
1364.0,29,110.272264
714.0,13,110.459088
553.0,8,110.568967
1219.0,33,111.099699
1105.0,30,111.545732
619.0,19,111.842322
910.0,15,112.016876
879.0,31,112.515309
484.0,8,112.619635
807.0,22,112.958139
923.0,22,113.417193
619.0,12,113.569216
482.0,8,113.677199
654.0,12,113.810749
450.0,17,113.998632
1168.0,30,114.457353
1544.0,45,115.426712
861.0,25,115.76964
727.0,13,115.96589
637.0,14,116.164951
1490.0,45,117.06369
1219.0,35,117.69938
700.0,15,117.899664
1075.0,34,118.450559
872.0,21,118.720817
695.0,20,118.970853
792.0,18,119.219556
820.0,24,119.603838
606.0,18,119.855072
1250.0,35,120.513941
724.0,10,120.618715
505.0,11,120.772708
780.0,20,121.078285
623.0,11,121.247499
946.0,21,121.597883
752.0,23,121.892753
740.0,18,122.117034
868.0,25,122.490614
415.0,9,122.595183
1274.0,36,123.260837
1172.0,33,123.86495
790.0,22,124.269657
839.0,21,124.565543
1223.0,39,125.314812
1063.0,29,125.799657
528.0,8,125.902838
523.0,8,126.013254
903.0,22,126.34278
1144.0,32,126.818246
993.0,26,127.222027
1049.0,31,128.008531
430.0,16,128.189126
575.0,8,128.291104
875.0,20,128.677814
888.0,17,128.961157
770.0,23,129.291051
1230.0,34,129.852117
883.0,26,130.296976
798.0,25,130.609679
994.0,17,130.850663
527.0,8,130.963555
1020.0,23,131.307046
1044.0,24,131.639403
959.0,34,132.144945
494.0,18,132.376894
621.0,9,132.516175
1008.0,27,132.891718
566.0,11,133.029146
1033.0,36,133.653151
597.0,23,133.995326
1181.0,27,134.44258
707.0,10,134.562092
616.0,12,134.703131
676.0,15,134.90558
911.0,22,135.325399
761.0,17,135.549205
769.0,18,135.785739
452.0,12,135.924404
640.0,8,136.016706
510.0,18,136.268009
696.0,20,136.577895
630.0,9,136.710166
1528.0,46,137.567897
909.0,24,137.984168
1316.0,42,140.952818
877.0,23,141.371839
1548.0,46,142.335981
659.0,9,142.473268
830.0,16,142.671232
503.0,11,142.800276
609.0,19,143.07106
853.0,24,143.533656
1034.0,28,143.962607
1595.0,46,144.812152
628.0,17,145.050262
1405.0,47,146.068557
662.0,18,146.379204
1061.0,27,146.820296
703.0,14,147.000428
697.0,13,147.160727
380.0,7,147.250857
1197.0,35,147.833104
747.0,24,148.151502
1433.0,44,149.051541
540.0,9,149.174555
693.0,15,149.376559
573.0,10,149.491924
616.0,12,149.616452
679.0,27,150.023243
423.0,8,150.133782
1000.0,24,150.497119
902.0,26,150.895443
642.0,10,151.035345
604.0,12,151.207113
377.0,9,151.319106
745.0,14,151.499516
1511.0,35,152.083337
1201.0,33,152.614991
353.0,7,152.714113
933.0,22,153.163018
702.0,9,153.306209
609.0,12,153.446783
392.0,7,153.535004
578.0,15,153.708715
788.0,15,153.975064
1387.0,43,154.84461
570.0,10,154.956854
844.0,17,155.213415
640.0,16,155.444148
855.0,25,155.855838
787.0,31,156.311328
644.0,25,156.787056
472.0,17,156.964793
776.0,18,157.170315
930.0,23,157.575914
996.0,23,157.930469
1452.0,47,158.802389
517.0,10,158.916206
586.0,16,159.16987
557.0,17,159.372243
1016.0,33,159.922989
758.0,23,160.332903
554.0,18,160.525349
926.0,25,160.942523
574.0,8,161.049363
873.0,16,161.309928
616.0,11,161.479441
1290.0,37,162.230899
1153.0,35,162.913432
712.0,13,163.087327
522.0,15,163.310134
548.0,12,163.434046
1076.0,33,164.05741
510.0,12,164.176203
962.0,27,164.645231
1014.0,27,165.034655
979.0,25,165.432887
625.0,13,165.627051
845.0,32,166.096252
1169.0,32,166.626584
1136.0,24,166.992951
606.0,14,167.166645
359.0,9,167.27807
431.0,16,167.45858
1556.0,46,168.558484
405.0,15,168.714294
871.0,17,168.942583
852.0,24,169.248179
455.0,10,169.377613
613.0,21,169.731731
1111.0,29,170.206908
640.0,9,170.344957
731.0,15,170.558475
750.0,15,170.811158
842.0,21,171.172647
343.0,12,171.308932
1056.0,39,172.050194
798.0,23,172.454404
1155.0,31,172.978021
699.0,23,173.247769
512.0,10,173.373442
959.0,33,176.032244
905.0,28,176.470191
939.0,26,177.002706
905.0,23,177.322808
920.0,25,177.802583
820.0,25,178.145668
411.0,12,178.266406
1237.0,30,178.859337
723.0,17,179.146744
559.0,23,179.454657
1432.0,37,180.064286
1853.0,44,181.081892
1455.0,46,181.972202
1215.0,30,182.532062
451.0,8,182.65498
1200.0,33,183.335057
369.0,8,183.434743
1294.0,42,184.220718
596.0,16,184.385296
672.0,15,184.567265
1376.0,39,185.33075
1483.0,46,186.133204
1100.0,25,186.510683
862.0,24,186.943749
649.0,19,187.190688
629.0,17,187.447053
902.0,20,187.680571
586.0,9,187.800427
1468.0,43,188.720189
370.0,15,188.934742
616.0,8,189.027733
965.0,19,189.326143
785.0,24,189.696972
765.0,19,189.981718
685.0,14,190.191188
779.0,20,190.45794
618.0,15,190.65563
1428.0,41,191.447057
1410.0,41,192.297162
902.0,22,192.630699
571.0,11,192.792913
876.0,28,193.16265
701.0,14,193.353221
1404.0,41,194.282807
1358.0,43,195.332273
874.0,24,195.757531
763.0,9,195.908805
638.0,17,196.124223
910.0,34,196.820616
1422.0,42,197.647568
801.0,18,197.902503
795.0,22,198.290752
782.0,22,198.595451
699.0,22,199.006981
1104.0,31,199.515098
529.0,8,199.631358
1488.0,46,200.611842
852.0,18,200.95282
988.0,34,201.620932
554.0,14,201.7712
783.0,19,202.031105
377.0,7,202.117249
869.0,19,202.434185
812.0,18,202.79342
983.0,30,203.317869
628.0,11,203.504446
1416.0,46,204.42538
568.0,8,204.532866
543.0,18,204.784946
1155.0,30,205.258298
497.0,8,205.361324
506.0,11,205.516504
647.0,16,205.711773
530.0,10,205.871704
553.0,13,206.047135
1666.0,46,207.258657
1205.0,42,208.064468
455.0,16,208.305875
679.0,25,208.652045
667.0,12,208.840703
854.0,28,209.358176
420.0,12,209.517397
864.0,21,209.89285
867.0,22,210.258564
823.0,13,210.472664
991.0,17,210.704396
568.0,9,210.831082
589.0,22,211.1272
660.0,10,213.188335
1536.0,47,214.242776
782.0,19,214.486025
1024.0,21,214.861104
627.0,8,214.973075
986.0,29,215.450931
639.0,14,215.625035
1195.0,26,216.107874
1078.0,21,216.44407
517.0,14,216.596193
938.0,30,217.109823
705.0,11,217.325583
857.0,25,217.748147
997.0,28,218.264385
1348.0,45,219.187365
788.0,25,219.573829
338.0,7,219.668335
1041.0,31,220.139973
1303.0,33,220.748817
1509.0,42,221.698727
770.0,17,221.89001
1031.0,34,222.55524
661.0,17,222.787577
596.0,14,222.98206
1146.0,29,223.695074
1097.0,38,224.657401
947.0,28,225.087682
471.0,8,225.185578
584.0,8,225.28937
582.0,8,225.378652
1299.0,41,226.231218
593.0,12,226.358976
1200.0,33,226.972327
504.0,12,227.118439
1340.0,32,227.798175
544.0,15,228.002934
569.0,12,228.148785
778.0,15,228.369527
1516.0,45,229.22217
927.0,30,229.705483
506.0,11,229.830249
1024.0,26,230.126347
381.0,7,230.222055
539.0,13,230.412737
796.0,21,230.697539
527.0,15,230.878882
1080.0,29,231.367562
1102.0,31,231.883939
457.0,15,232.049988
593.0,17,232.242253
1351.0,38,232.941783
722.0,18,233.195788
686.0,9,233.322777
1146.0,39,234.032922
555.0,19,234.279636
652.0,24,234.641973
1112.0,25,235.046451
560.0,11,235.235018
720.0,15,235.424585
495.0,15,235.620649
963.0,34,236.165104
821.0,24,236.525314
1297.0,41,237.392707
1227.0,37,238.120861
1391.0,40,238.788463
446.0,13,238.943664
705.0,17,239.195315
921.0,18,239.428822
1190.0,30,239.927633
815.0,15,240.180277
699.0,18,240.383832
631.0,10,240.521291
836.0,22,240.870971
674.0,10,240.991362
1208.0,31,241.512243
1277.0,36,242.386636
945.0,23,242.785397
729.0,18,243.040265
1310.0,37,243.59705
530.0,8,243.697016
954.0,23,244.088339
668.0,16,244.352664
590.0,11,244.491251
712.0,11,244.656977
830.0,19,244.990327
883.0,14,245.180146
656.0,19,245.438451
872.0,26,245.843535
367.0,9,245.949645
698.0,15,246.159205
626.0,17,246.387661
675.0,11,246.53792
1148.0,30,247.119522
654.0,13,247.277148
886.0,23,249.57764
476.0,8,249.68426
597.0,13,249.86627
530.0,9,249.991192
752.0,28,250.360961
1264.0,34,250.910817
1061.0,30,251.498242
1696.0,46,252.479547
747.0,13,252.673936
591.0,14,252.868489
541.0,14,253.035535
713.0,24,253.372774
672.0,9,253.573895
1423.0,47,254.644139
990.0,29,255.048796
861.0,15,255.262825
620.0,9,255.404181
691.0,17,255.630696
1323.0,45,256.603846
674.0,12,256.754355
461.0,12,256.878749
619.0,11,257.03911
611.0,16,257.258719
1214.0,31,257.751312
963.0,29,258.257576
990.0,30,258.757407
293.0,10,258.860041
727.0,26,259.297474
560.0,18,259.512511
1199.0,45,260.609789
1668.0,41,261.441149
1318.0,31,261.998486
993.0,21,262.296096
803.0,21,262.60122
562.0,15,262.819547
704.0,15,263.066174
533.0,8,263.171954
1070.0,24,263.672992
647.0,15,263.889476
649.0,21,264.132302
1632.0,47,265.036964
779.0,30,265.440234
645.0,15,265.628898
988.0,32,266.202772
1557.0,34,266.721064
1016.0,25,267.066476
683.0,17,267.330192
1381.0,33,267.910756
577.0,9,268.070906
875.0,22,268.388731
564.0,23,268.740326
752.0,21,269.092211
688.0,15,269.303101
1531.0,42,270.18221
1496.0,46,271.083081
618.0,24,271.411272
812.0,21,271.713856
947.0,28,272.282018
440.0,13,272.427643
665.0,10,272.555883
516.0,11,272.700202
742.0,24,273.126284
1879.0,45,274.064379
625.0,15,274.239982
761.0,21,274.583768
453.0,13,274.729194
646.0,14,274.906434
617.0,18,275.228829
679.0,24,275.625323
1176.0,38,276.238034
1238.0,35,276.875087
762.0,13,277.127558
501.0,12,277.259395
577.0,10,277.386573
407.0,12,277.546973
949.0,31,277.97837
